author_id,author_name,author_page_url,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,pages,year_publication,fiction_nonfiction,genre_number
7341478,Gwendolyn M. Plano ,/author/show/7341478.Gwendolyn_M_Plano,USA and Canada,4.64,https://www.goodreads.com/book/show/18669241-letting-go-into-perfect-love,18669241,       Letting Go into Perfect Love: Discovering the Extraordinary After Abuse ,Biography & Autobiography,Autobiography,256,2014,Nonfiction,2
11236,Caroline Myss ,/author/show/11236.Caroline_Myss,USA and Canada,3.99,https://www.goodreads.com/book/show/190115.Sacred_Contracts,190115,       Sacred Contracts: Awakening Your Divine Potential ,Religion & Spirituality,Nonfiction,464,2001,Nonfiction,6
143643,Bettany Hughes ,/author/show/143643.Bettany_Hughes,Europe,4.11,https://www.goodreads.com/book/show/661197.Helen_of_Troy,661197,"       Helen of Troy: Goddess, Princess, Whore ",History,Nonfiction,496,2005,Nonfiction,5
41093,Shakti Gawain ,/author/show/41093.Shakti_Gawain,USA and Canada,4.2,https://www.goodreads.com/book/show/336734.Living_in_the_Light,336734,       Living in the Light: A Guide to Personal and Planetary Transformation  ,Religion & Spirituality,Self Help,224,1985,Nonfiction,6
3495853,Sarah Ban Breathnach ,/author/show/3495853.Sarah_Ban_Breathnach,Unknown,3.98,https://www.goodreads.com/book/show/748862.Simple_Abundance,748862,       Simple Abundance:  A Daybook of Comfort and Joy ,Self Help,Self Help,528,1995,Nonfiction,8
6374,Byron Katie ,/author/show/6374.Byron_Katie,USA and Canada,4.15,https://www.goodreads.com/book/show/9762.Loving_What_Is,9762,       Loving What Is: Four Questions That Can Change Your Life ,Self Help,Nonfiction,352,2002,Nonfiction,8
12261,Brenda Wineapple ,/author/show/12261.Brenda_Wineapple,USA and Canada,3.93,https://www.goodreads.com/book/show/16247974-ecstatic-nation,16247974,"       Ecstatic Nation: Confidence, Crisis, and Compromise, 1848-1877 ",History,Nonfiction,736,2013,Nonfiction,5
145512,Lynne Olson ,/author/show/145512.Lynne_Olson,USA and Canada,4.13,https://www.goodreads.com/book/show/41021293-those-angry-days,41021293,"       Those Angry Days: Roosevelt, Lindbergh, and America's Fight Over World War II, 1939-1941 ",History,Nonfiction,576,2013,Nonfiction,5
15811,Rebecca Solnit ,/author/show/15811.Rebecca_Solnit,USA and Canada,4.19,https://www.goodreads.com/book/show/16158561-the-faraway-nearby,16158561,       The Faraway Nearby ,Writing,Writing,259,2013,Nonfiction,10
6450261,Sonali Deraniyagala ,/author/show/6450261.Sonali_Deraniyagala,Unknown,3.72,https://www.goodreads.com/book/show/15771862-wave,15771862,       Wave ,Biography & Autobiography,Autobiography,274,2013,Nonfiction,2
7956,Mary Roach ,/author/show/7956.Mary_Roach,USA and Canada,3.58,https://www.goodreads.com/book/show/14990.Spook,14990,       Spook: Science Tackles the Afterlife ,Science,Science,311,2005,Nonfiction,7
8424949,Jazz Jennings ,/author/show/8424949.Jazz_Jennings,USA and Canada,3.89,https://www.goodreads.com/book/show/28698224-being-jazz,28698224,       Being Jazz: My Life as a (Transgender) Teen ,Biography & Autobiography,Autobiography,272,2016,Nonfiction,2
2522,Zadie Smith ,/author/show/2522.Zadie_Smith,Europe,3.83,https://www.goodreads.com/book/show/6425404-changing-my-mind,6425404,       Changing My Mind: Occasional Essays ,Writing,Nonfiction,320,2009,Nonfiction,10
117157,Pauline Maier ,/author/show/117157.Pauline_Maier,USA and Canada,4.08,https://www.goodreads.com/book/show/7841680-ratification,7841680,"       Ratification: The People Debate the Constitution, 1787-1788 ",History,North American Hi...,608,2010,Nonfiction,5
157036,Julie Klam ,/author/show/157036.Julie_Klam,Unknown,3.85,https://www.goodreads.com/book/show/11129765-love-at-first-bark,11129765,       Love at First Bark: How Saving a Dog Can Sometimes Help You Save Yourself ,Animals,Animals,170,2011,Nonfiction,1
242592,Joan Schenkar ,/author/show/242592.Joan_Schenkar,USA and Canada,3.66,https://www.goodreads.com/book/show/6424007-the-talented-miss-highsmith,6424007,       The Talented Miss Highsmith: The Secret Life and Serious Art of Patricia Highsmith ,Biography & Autobiography,Nonfiction,704,2009,Nonfiction,2
118313,Hilary Spurling ,/author/show/118313.Hilary_Spurling,Europe,3.8,https://www.goodreads.com/book/show/7927372-pearl-buck-in-china,7927372,       Pearl Buck in China: Journey to the Good Earth ,Biography & Autobiography,History,304,2010,Nonfiction,2
4499919,Jen Wylie ,/author/show/4499919.Jen_Wylie,USA and Canada,4.07,https://www.goodreads.com/book/show/17800679-broken-aro,17800679,       Broken Aro ,Self Help,Young Adult,265,2012,Nonfiction,8
11785,Stormie Omartian ,/author/show/11785.Stormie_Omartian,USA and Canada,4.13,https://www.goodreads.com/book/show/20829260-choose-love,20829260,       Choose Love: The Three Simple Choices That Will Alter the Course of Your Life ,Religion & Spirituality,Christian,272,2014,Nonfiction,6
27692,Nancy R. Pearcey ,/author/show/27692.Nancy_R_Pearcey,USA and Canada,4.23,https://www.goodreads.com/book/show/63827.Total_Truth,63827,       Total Truth: Liberating Christianity from its Cultural Captivity ,Religion & Spirituality,Christian,511,2004,Nonfiction,6
7160450,Claire Wingfield ,/author/show/7160450.Claire_Wingfield,Europe,4.71,https://www.goodreads.com/book/show/34052569-52-dates-for-writers,34052569,"       52 Dates for Writers - Ride a Tandem, Assume an Alias, and 50 Other Ways to Improve Your Novel Draft ",Writing,Nonfiction,123,2013,Nonfiction,10
1402383,Elizabeth  George ,/author/show/1402383.Elizabeth_George,USA and Canada,3.92,https://www.goodreads.com/book/show/116685.Write_Away,116685,       Write Away: One Novelist's Approach to Fiction and the Writing Life ,Writing,Nonfiction,288,2004,Nonfiction,10
7973,Eudora Welty ,/author/show/7973.Eudora_Welty,USA and Canada,4.06,https://www.goodreads.com/book/show/12586.The_Eye_of_the_Story,12586,       The Eye of the Story: Selected Essays and Reviews ,Writing,Nonfiction,368,1978,Nonfiction,10
