author_id,author_name,author_page_url,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,pages,year_publication,fiction_nonfiction,period_publication,genre_number
3125711,Stacey Kade ,/author/show/3125711.Stacey_Kade,USA and Canada,4.05,https://www.goodreads.com/book/show/12871657-body-soul,12871657,       Body & Soul ,Young Adult,Fantasy,316,2012,Fiction,21st century,14
14001187,M.J. Haag ,/author/show/14001187.M_J_Haag,Unknown,4.13,https://www.goodreads.com/book/show/25876779-devastation,25876779,       Devastation ,Fantasy,Romance,229,2015,Fiction,21st century,6
7169681,Alison Kemper ,/author/show/7169681.Alison_Kemper,USA and Canada,3.91,https://www.goodreads.com/book/show/21929888-donna-of-the-dead,21929888,       Donna of the Dead ,Horror,Young Adult,250,2014,Fiction,21st century,8
5622429,A.G. Henley ,/author/show/5622429.A_G_Henley,USA and Canada,4.02,https://www.goodreads.com/book/show/13450088-the-scourge,13450088,       The Scourge ,Young Adult,Science Fiction,242,2012,Fiction,21st century,14
4653530,Rhiannon Paille ,/author/show/4653530.Rhiannon_Paille,USA and Canada,4.18,https://www.goodreads.com/book/show/12155164-justice,12155164,       Justice ,Fantasy,Young Adult,401,2013,Fiction,21st century,6
4524507,Elise Stokes ,/author/show/4524507.Elise_Stokes,USA and Canada,4.22,https://www.goodreads.com/book/show/34534552-cassidy-jones-and-vulcan-s-gift,34534552,       Cassidy Jones and Vulcan's Gift ,Young Adult,Comics,306,2011,Fiction,21st century,14
84803,Gillian Bradshaw ,/author/show/84803.Gillian_Bradshaw,USA and Canada,3.95,https://www.goodreads.com/book/show/223534.The_Bearkeeper_s_Daughter,223534,       The Bearkeeper's Daughter ,Historical,Fiction,310,1987,Fiction,20th century or before,7
26071,Diane Wolkstein ,/author/show/26071.Diane_Wolkstein,USA and Canada,4.1,https://www.goodreads.com/book/show/868595.Inanna_Queen_of_Heaven_and_Earth,868595,"       Inanna, Queen of Heaven and Earth: Her Stories and Hymns from Sumer ",Fantasy,History,227,1983,Fiction,20th century or before,6
8188329,Mary Bernsen ,/author/show/8188329.Mary_Bernsen,Unknown,3.85,https://www.goodreads.com/book/show/22635803-the-roman-mongrel,22635803,       The Roman Mongrel ,Historical,Historical,162,2014,Fiction,21st century,7
61946,Christa Wolf ,/author/show/61946.Christa_Wolf,Europe,3.86,https://www.goodreads.com/book/show/153480.Medea,153480,       Medea ,Fantasy,Fiction,208,1996,Fiction,20th century or before,6
6543431,Libbie Hawker ,/author/show/6543431.Libbie_Hawker,USA and Canada,3.77,https://www.goodreads.com/book/show/12398627-the-sekhmet-bed,12398627,       The Sekhmet Bed ,Historical,Fiction,343,2011,Fiction,21st century,7
13891,Rosalind Miles ,/author/show/13891.Rosalind_Miles,Europe,3.76,https://www.goodreads.com/book/show/56349.The_Maid_of_the_White_Hands,56349,       The Maid of the White Hands ,Historical,Fantasy,352,2003,Fiction,21st century,7
24183,Morgan Llywelyn ,/author/show/24183.Morgan_Llywelyn,USA and Canada,4.0,https://www.goodreads.com/book/show/226552.The_Horse_Goddess,226552,       The Horse Goddess ,Historical,Fantasy,480,1982,Fiction,20th century or before,7
8659,Jennifer Roberson ,/author/show/8659.Jennifer_Roberson,USA and Canada,3.87,https://www.goodreads.com/book/show/662639.Lady_of_the_Forest,662639,       Lady of the Forest ,Fantasy,Historical,608,1992,Fiction,20th century or before,6
2905269,Molly Ringle ,/author/show/2905269.Molly_Ringle,USA and Canada,3.69,https://www.goodreads.com/book/show/17790646-persephone-s-orchard,17790646,       Persephone's Orchard ,Fantasy,Fantasy,370,2013,Fiction,21st century,6
91102,Amanda Elyot ,/author/show/91102.Amanda_Elyot,Unknown,3.78,https://www.goodreads.com/book/show/400812.The_Memoirs_of_Helen_of_Troy,400812,       The Memoirs of Helen of Troy ,Historical,Fantasy,309,2005,Fiction,21st century,7
6585259,Katie Hamstead ,/author/show/6585259.Katie_Hamstead,Oceania,3.98,https://www.goodreads.com/book/show/16163811-hope-of-the-pharaoh,16163811,       Hope of the Pharaoh ,Historical,Northern Africa,257,2013,Fiction,21st century,7
222429,Heather Terrell ,/author/show/222429.Heather_Terrell,Unknown,3.77,https://www.goodreads.com/book/show/6087731-brigid-of-kildare,6087731,       Brigid of Kildare ,Historical,Cultural,256,2009,Fiction,21st century,7
