author_average_rating,author_gender,author_genres,author_id,author_name,author_page_url,author_rating_count,author_review_count,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
3.86,female,"young-adult,",4774653,Erin Bowman ,/author/show/4774653.Erin_Bowman,26837,4661,Unknown,3.76,https://www.goodreads.com/book/show/11044367-taken,11044367,       Taken ,Young Adult,Science Fiction,11139,1385,360,2013,4439
3.87,female,"young-adult,",6948816,Abi Ketner ,/author/show/6948816.Abi_Ketner,8805,1475,Unknown,3.82,https://www.goodreads.com/book/show/17402117-branded,17402117,       Branded ,Science Fiction,Young Adult,7532,1344,384,June 27th 2013,10440
4.12,female,"romance,",8108644,Jessica  Peterson ,/author/show/8108644.Jessica_Peterson,4083,972,USA and Canada,4.23,https://www.goodreads.com/book/show/42170446-southern-charmer,42170446,       Southern Charmer ,Romance,Romance,1065,227,334,2018,2147
4.2,female,"romance,",7850247,L.P. Lovell ,/author/show/7850247.L_P_Lovell,22973,4353,Europe,4.1,https://www.goodreads.com/book/show/42393834-cards-of-love,42393834,       Cards of Love: The Pope ,Dark,Romance,393,102,244,2018,2524
4.19,female,"romance,fiction,",3023973,Melissa Foster ,/author/show/3023973.Melissa_Foster,111610,17038,USA and Canada,4.65,https://www.goodreads.com/book/show/39334267-lovers-at-heart-reimagined,39334267,"       Lovers at Heart, Reimagined (Love in Bloom: The Bradens #1) ",Romance,Contemporary,280,161,292,2018,2549
4.03,female,"romance,",6476392,Shanora Williams ,/author/show/6476392.Shanora_Williams,45251,4872,USA and Canada,4.28,https://www.goodreads.com/book/show/40509210-loving-mr-cane,40509210,       Loving Mr. Cane ,Romance,See top shelves…,892,178,264,2018,2594
3.99,female,"romance,",8716,Susan Mallery ,/author/show/8716.Susan_Mallery,448675,30222,Unknown,4.05,https://www.goodreads.com/book/show/37534149-not-quite-over-you,37534149,       Not Quite Over You ,Romance,Contemporary,2032,456,352,2018,2806
4.28,female,"romance,",1508588,Marie Force ,/author/show/1508588.Marie_Force,264929,19146,USA and Canada,4.44,https://www.goodreads.com/book/show/38324314-five-years-gone,38324314,       Five Years Gone ,Romance,War,1148,286,400,2018,2915
4.36,female,"contemporary,",7154678,Lani Lynn Vale ,/author/show/7154678.Lani_Lynn_Vale,176665,12667,USA and Canada,4.36,https://www.goodreads.com/book/show/40739015-talkin-trash,40739015,       Talkin' Trash ,Romance,Sports and Games,1589,198,249,2018,2952
3.97,female,"romance,",8133160,Rachel Blaufeld ,/author/show/8133160.Rachel_Blaufeld,5017,1657,Unknown,4.04,https://www.goodreads.com/book/show/40023733-hot-for-his-girl,40023733,       Hot for His Girl ,Romance,Romance,300,152,234,2018,3111
4.14,female,"romance,",7243737,T. Gephart ,/author/show/7243737.T_Gephart,13343,2296,Oceania,4.12,https://www.goodreads.com/book/show/38729687-1-muse,38729687,       #1 Muse ,Romance,Humor,300,106,258,2018,3544
3.77,female,"romance,",7163319,Clarissa Wild ,/author/show/7163319.Clarissa_Wild,29930,6291,Unknown,3.77,https://www.goodreads.com/book/show/42274000-cards-of-love,42274000,       Cards of Love: The Hanged Man ,Dark,Romance,427,201,113,2018,3888
4.27,female,"romance,",8617437,Alex  Grayson ,/author/show/8617437.Alex_Grayson,7783,2088,Europe,4.41,https://www.goodreads.com/book/show/40757391-trouble-in-hell,40757391,       Trouble in Hell ,Dark,Romance,309,144,300,2018,3817
4.59,female,"romance,",18256750,Christi Whitson ,/author/show/18256750.Christi_Whitson,80,39,Unknown,4.62,https://www.goodreads.com/book/show/41011660-ember,41011660,       Ember ,New Adult,Romance,69,33,299,July 27th 2018,3996
4.34,female,"paranormal,",5356562,Teresa Gabelman ,/author/show/5356562.Teresa_Gabelman,43722,3721,USA and Canada,4.45,https://www.goodreads.com/book/show/41583449-forbidden-secrets,41583449,       Forbidden Secrets ,Paranormal,Fantasy,351,35,212,2018,4061
4.12,female,"romance,",7741564,K.  Webster ,/author/show/7741564.K_Webster,97828,21538,Unknown,4.08,https://www.goodreads.com/book/show/42205092-dane,42205092,       Dane ,Romance,Romance,1112,271,151,2018,4118
3.93,female,"romance,",10000,Carly Phillips ,/author/show/10000.Carly_Phillips,190724,15130,USA and Canada,4.36,https://www.goodreads.com/book/show/43256780-dream,43256780,       Dream ,Romance,Romance,488,214,134,2018,4499
4.19,female,"romance,contemporary,",9860469,Jordan Marie ,/author/show/9860469.Jordan_Marie,64944,7808,USA and Canada,4.66,https://www.goodreads.com/book/show/40941147-diesel,40941147,       Diesel ,Romance,Contemporary,711,216,244,2018,4804
